,en,fr
13,"However, we in the Committee on Fisheries cannot really go to town, Commissioner, because you have still not provided us with the long-promised cost-benefit analyses on our fisheries agreements.","Car, si nous voulons maintenir nos produits sur le marché mondial, nous avons besoin de matières premières et d'importations, et cela a un prix. Mais nous ne pouvons même être exubérants et dépensiers au sein de la commission de la pêche, Madame la Commissaire, car vous nous privez des analyses coûts-bénéfices de nos accords de pêche alors qu'elles ont été promises de longue date."
14,I also want to remind colleagues that the amendments now proposed are new and therefore not based on the position Parliament took at first reading.,Je tiens également à rappeler à mes collègues que les amendements proposés maintenant sont nouveaux et qu'ils ne sont donc pas basés sur la position adoptée par le Parlement en première lecture.
15,"We have the blueprints and I urge all of those with the political will to take action, to deliver for the children of Africa.",Nous disposons d'un plan et j'exhorte tous ceux qui ont la volonté politique d'agir de sauver les enfants d'Afrique.
16,"I share the minority view of Mr Berthu, a member of the Union for a Europe of Nations Group, as it has been included in this report.","Je partage le point de vue de la minorité, donné par le membre de l' UEN Berthu, tel qu' il apparaît dans ce rapport."
17,"We can be sure that whatever money we have in this programme will be directed at youth and will, in the long-term, be money well spent.","Nous pouvons être certains que quel que soit l'argent dont nous disposerons pour ce programme, il sera destiné à la jeunesse et ce sera, à long terme, de l'argent bien dépensé."
18,"Mr President, first of all I should like to congratulate the rapporteur for bringing forward a report that not only looks at the problem but puts forward new ideas for the future.","Monsieur le Président, tout d' abord, je souhaite féliciter le rapporteur pour son rapport qui non seulement examine le problème mais propose de nouvelles idées pour l' avenir."
19,"It is clearly not a perfect text, but we consider it to be a reasonable and acceptable one, and it is crucial that it is adopted as soon as possible.","S'il n'est bien sûr pas parfait, nous estimons que ce texte est raisonnable et acceptable et qu'il est urgent de l'approuver."
20,"Although development cooperation and trade are very much interrelated, they should not be played off against each other.","Il est vrai que la coopération au développement et le commerce sont liés, mais ils ne peuvent être utilisés l' un contre l' autre."
21,"So far as Miss Kadeer is concerned, obviously I did not have notice of that question and am not in a position to respond.","En ce qui concerne Mlle Kadeer, manifestement je n'étais pas au courant de la situation et je ne suis donc pas en mesure de répondre à la question."
22,"I would argue that it is more essential, now that we have a strong public service broadcasting sector, to ensure the maintenance of that democratic, social and cultural sector.","J'aurais tendance à dire qu'il faut davantage garantir le maintien de ce secteur démocratique, social et culturel à présent que nous disposons d'un secteur de radiodiffusion publique fort."
23,"Unfortunately, with the exception of support for SMEs, we were unable to have any of these amendments adopted, and have therefore voted against the report.","Malheureusement, à l'exception du soutien en faveur des PME, nous n'avons pas pu faire adopter ces propositions, raison pour laquelle nous avons voté contre le rapport."
24,We have witnessed their pain and we have seen that terrorists do not of course only hurt those they attack; they also in essence murder all those around them.,"Nous avons vu leur douleur et nous avons vu que les terroristes ne frappent pas seulement les personnes qu' ils tuent mais aussi, en fait, tout leur entourage."
25,Mrs Anastassopoulos is in charge of these files. You surely do not imagine that there are 91 projects cofinanced by the Commission without a single official to deal with them.,Madame Anastassopoulos s'occupe de ces dossiers : vous ne pouvez quand même pas imaginer qu'il y ait 91 projets cofinancés par la Commission et qu'il n'y ait pas de fonctionnaires pour s'en occuper.
26,This is why we call upon the Commission and the Council to support this process by joining us in making representations to the Tunisian authorities.,C'est pour cela que nous demandons à la Commission et au Conseil de soutenir ce processus et que nous sollicitons également les autorités tunisiennes.
27,"Finally, if the Feira Council is going to deal with the Charter of Fundamental Rights we want it kept off the IGC agenda so that it can take the form of a statement not incorporated into the Treaty.","Enfin, si le Conseil de Feira examine la question de la charte des droits fondamentaux, nous lui demandons de ne pas l'inscrire à l'ordre du jour de la CIG afin de prendre, dès maintenant, la voie d'un document déclaratif non intégré dans le Traité."
28,"Madam President, I should like to begin by associating myself, as the Prime Minister has just done, with your moving tribute to President Pflimlin.",". (EN) Madame la Présidente, je voudrais tout d'abord m'associer, comme M. le Premier ministre vient de le faire, à votre émouvant hommage au président Pflimlin."
29,It is crucial that European aid has a direct bearing on the economic and social problems that are besetting the people of Zimbabwe.,"En effet, il est indispensable que l'aide européenne porte directement sur les difficultés économiques et sociales que connaît le peuple du Zimbabwe."
30,"It is the subsidies, tax relief and various forms of aid granted to big business which empty state coffers everywhere.","Ce sont les subventions, les dégrèvements fiscaux et les aides de toute sorte, accordées au grand patronat, qui vident partout les caisses des États."
31,That is why it was right - and I would like to specifically support you here - not to overburden this proposal with sensitive issues such as patent protection for biotechnology products.,"C'est pourquoi il était bon - et je voudrais vous appuyer -, de ne pas surcharger ce projet par des questions délicates telles que les brevets sur les produits biotechnologiques."
32,"Mr President, ladies and gentlemen, the European Commission is required to submit a directive proposal on measures for workers during pregnancy, birth and breastfeeding by the end of 2000.","Monsieur le Président, chers collègues, la Commission européenne devra introduire fin 2000 une proposition de directive impliquant des mesures destinées aux travailleuses enceintes, accouchées et allaitantes au travail."
33,Amendments 16 and 19 introduce interesting matters which I doubt would be a part of many other countries' criminal legislation.,"On a introduit dans les amendements 16 et 19 des éléments très intéressants, qui pour autant que je sache, ne pourraient exister dans la législation pénale de beaucoup de pays."
34,"Interventions of this kind should primarily take place with the help of economic sanctions but, depending upon the circumstances, military intervention may be necessary.","De telles interventions doivent d'abord prendre la forme de moyens de pression financière, mais, en fonction des circonstances, une intervention militaire peut s'avérer nécessaire."
35,This proposal does not say that all the Member States will be obliged to recognise unmarried partnerships and accept unmarried partners under all circumstances.,Cette proposition ne dit pas que tous les États membres seront obligés de reconnaître l'union de fait et d'admettre les partenaires dans toutes les circonstances.
36,"In the light of an inquiry at the time into the social and economic consequences of abolishing Community subsidies for tobacco cultivation, the decision was taken not to go down this path.","Au vu de l'analyse faite à l'époque des conséquences sociales et économiques d'une suppression de l'aide accordée à la culture du tabac, cette possibilité avait été rejetée."
37,I call on the Commission to make it crystal clear to the Russian Government that we will not accept further legal judgments against Nikitin or tolerate his being put on trial again.,"J'invite la Commission à signifier clairement au gouvernement russe que nous n'accepterons ni le maintien de sanctions judiciaires, ni l'ouverture de nouvelles procédures judiciaires à l'encontre de Nikitin."
38,"Firstly, I would like the Commissioner to explain why there is a contrast between the treatment of horizontal restraints and vertical restraints.","Premièrement, je voudrais que le commissaire explique pourquoi il existe une différence de traitement entre les restrictions horizontales et les restrictions verticales."
39,"Another aspect which was close to my heart is that parents, pupils and teachers too should be involved in the process.","Un autre aspect qui me tenait à cur est le fait qu'il faut également associer parents, élèves et enseignants au processus."
40,I thank Mr Parish for his report and wish his report all the best to ensure that we can follow up these important decisions taken by him in a specific and constructive manner.,Je remercie M. Parish pour son rapport et je lui souhaite bonne chance. Les décisions importantes qu'il a prises méritent un suivi ciblé et constructif.
41,"The MEPs of the Communist Party of Greece will never cease to condemn this EU policy, which aims to make third countries politically and economically dependent and suppress the grass-roots movement.","En tant que députés européens du Parti communiste de Grèce, nous ne cessons de dénoncer cette politique de l' UE qui vise la dépendance politique et économique des pays tiers et la répression du mouvement populaire."
42,"Progress has been made, as in the case of the approval in December of the measures on railway infrastructures through the conciliation procedure.","Des progrès ont été réalisés, comme celui de l'approbation, au mois de décembre, des mesures sur les infrastructures ferroviaires par la procédure de conciliation."
43,We should only concern ourselves with matters where the European Union can provide added value and can really be of significance.,Nous devons uniquement nous occuper des questions auxquelles l'Union européenne peut apporter une plus-value et pour lesquelles elle peut jouer un rôle véritablement important.
44,I do believe that consumer confidence is undermined if consumers see different responses in different Member States to the same perceived risk.,Je crois vraiment que la confiance des consommateurs est sapée si ceux-ci constatent que les États membres amènent des réponses différentes à ce qui est perçu comme un risque identique.
45,"Let us therefore first sort out the nature of the task in hand, and then we can find a name: I would be very happy to call it an assembly, a council or a committee, I do not mind.","Concentrons-nous donc sur les contenus, et nous pouvons trouver un nom ensuite : assemblée, conseil ou comité me vont très bien, peu importe."
46,"Now the Commission and the Council have come back with their common position, which is not 100 pages long, but 150 pages.","Et maintenant, voilà que la Commission et le Conseil reviennent avec une position commune qui ne fait pas 100 pages, mais bien 150 !"
47,"Mrs Ria, I regret, therefore, your zigzag course. When we look at your proposals, we find they do not tally with what you have said.","Chère Ria, je regrette donc votre progression en zigzag, car si vous considérez certains amendements déposés, et si nous considérons les amendements que vous avez déposés, nous n'y retrouvons pas ce que vous venez de dire."
48,"The purpose of these urgent topics we are now debating is, of course, to draw the public' s attention to serious problems in world politics and to serious violations of human rights and democracy.","Les affaires urgentes que nous examinons actuellement ont pour but d'attirer l'attention du public sur des problèmes graves en matière de politique internationale, sur des atteintes graves portées contre les droits de l'homme et la démocratie."
49,The Commission would also decide in future if and on what frequencies radio communications can be broadcast.,"De plus, la Commission devrait décider des fréquences de retransmission des contenus radiophoniques."
50,"In fact, the transport of radioactive waste presents the greatest risk due to the levels of radioactivity.","Ce sont bien les transports de déchets radioactifs qui présentent le danger maximal, vu leur taux de radioactivité."
51,"A Declaration was added to the Treaty of Amsterdam, stipulating that sports federations have a certain autonomy.","Une déclaration a été ajoutée au traité d'Amsterdam, qui stipule que les fédérations sportives ont une certaine autonomie."
52,"But that implies that many decisions can only be taken at the other end, at the higher level, when, for the sake of equity and efficiency, the whole of a great polity must be included.","Mais dans la pratique, ce souci d' efficacité et d' équité implique que de nombreuses décisions ne peuvent être prises qu' au plus haut niveau, et que tous les niveaux de pouvoir doivent être impliqués."
53,It was also pointed out that the development of the common European security and defence policy will contribute to the vitality of the renewed transatlantic connection.,On y souligne également que le développement de la politique européenne de sécurité et de défense commune contribuera à la vitalité de relations transatlantiques renouvelées.
54,This means that we cannot associate ourselves with any attempt to raise the profile of Cabinda' s political situation unless the Portuguese citizens are released.,Cela signifie que nous ne pourrons collaborer à aucun effort tendant à donner une visibilité à la question politique de Cabinda tant que les otages portugais ne seront pas libérés.
55,"These things are necessary, but they should not be the picture that is presented to the people of Europe.","Ces choses sont nécessaires, mais elle ne devraient pas constituer l'image présentée aux européens."
56,I would like specifically to refer to the area of employment in relation to this policy which is intended to create a barrier-free Europe and furthermore a Europe with a high level of employment.,"Je voudrais parler plus précisément du domaine de l'emploi dans cette politique qui tend à créer une Europe sans entrave et, en outre, une Europe présentant un taux d'emploi élevé."
57,"I should like to know whether you agree with this action by the Spanish government, which has sold a publicly owned company to a company from the United States?","Je voudrais savoir si vous êtes d'accord avec cette opération du gouvernement espagnol, qui a vendu cette entreprise publique à une entreprise américaine ?"
58,"In addition to short-term measures, however, we also need a new type of agricultural policy, which protects production and supports changes in production methods.","Mais, au-delà des mesures à court terme, il nous faut une autre politique agricole, qui protège la production et appuie la modification des méthodes de production."
59,"It is precisely this assistance, as rapporteur Swoboda pointed out with good reason, which benefits the stabilisation and association process in the entire region of the western Balkans.","Comme le fait remarquer judicieusement le rapporteur Swoboda, cette assistance profite non seulement à la Macédoine mais également au processus de stabilisation et d'association dans toute la région des Balkans occidentaux."
60,"Good laws are all very well, but they are just words on paper unless we have effective control and compliance.","Les bonnes lois, chers collègues, sont bien jolies, mais elles ne sont que du papier aussi longtemps que le contrôle et le respect des dispositions ne fonctionnent pas !"
61,I am also very glad that the Committee on Employment and Social Affairs has put forward these amendments.,Je suis aussi très satisfait que la Commission de l' emploi et des affaires sociales ait proposé ces amendements.
62,"The same can be said of the French government which, in its note of 9 May, sees no difficulty about using Article 308 in such a case.","On pourrait en dire autant du gouvernement français, d' ailleurs, qui dans sa note du 9 mai ne voit aucun inconvénient à l' utilisation de l' article 308 dans un tel cas."
63,"All right, perhaps that is the case, but democracy is a human creation after all, and only a human creation.","C'est peut-être vrai, mais la démocratie est avant tout et seulement une réalisation humaine."
64,"As for the lack of action following the election violence in Spain, described as a pogrom by commentators, this is not worthy of Europe.","L'absence de poursuites contre les violences ""d'Elexilo"" (Espagne) qualifié de ""pogrom"" par les commentateurs n'est pas digne de l'Europe."
65,"Many have seen generations of work literally go up in smoke on the funeral pyres, which are still burning.","De nombreuses personnes ont vu des générations de travail partir littéralement en fumée sur les bûchers, qui brûlent d'ailleurs toujours."
66,I believe we have reached a good agreement on the text and I am not proposing to support any additional amendments in the vote tomorrow.,Je pense que nous sommes parvenus à un bon consensus à propos de ce document et je ne souhaite pas proposer de soutenir d' autres amendements au vote de demain.
67,"We would have preferred no ceiling to be set, so that the compensation corresponded as closely as possible to the real need; in the meantime, I believe we should consider raising that ceiling.","Nous aurions préféré une absence de plafond afin que l'indemnisation soit la plus adaptée à la réalité, et en attendant, je pense qu'il faut envisager un relèvement du plafond."
68,The aid creates obligations but all the indications are that the president is trying to wriggle out of them.,"Cette aide crée des obligations, mais tout porte à croire que le président essaie d' y échapper."
69,"I say the words ""presidency of the Council"" advisedly because it is not, of course, the presidency of the Union.","Je dis ""présidence du Conseil"" délibérément, car il ne s'agit naturellement pas de la présidence de l'Union."
70,"That translates into more legal certainty, more confidence and an increase in e-commerce within the European Union.","Il s' agit de l' amendement 24. Ce qui implique un accroissement de la sécurité juridique, de la confiance, de la croissance aussi du commerce électronique au sein de l' Union européenne."
71,"An idea also seems to be circulating which I consider to be dangerous: that world competition, particularly North American competition, should promote mergers rather than guarantee pluralism.","Il semble même qu'il circule une idée que je trouve dangereuse : que la concurrence mondiale, en particulier américaine, favoriserait les concentrations plutôt qu'elle ne garantirait le pluralisme."
72,The line of aid discussed in this report seeks to fill the gap that exists between emergency aid and development aid.,La ligne d'aide à laquelle le présent rapport se réfère tente précisément de combler le fossé existant entre l'aide d'urgence et l'aide au développement.
73,The Commission' s report on the European works councils shows that there is a fair way to go before the law is implemented in practice and all the undertakings concerned have set up works councils.,Le rapport de la Commission sur les comités d'entreprise européens montre qu'il reste encore un bon bout de chemin à parcourir avant que la législation ne soit mise en uvre et que toutes les entreprises n'aient créé des conseils d'entreprise.
74,Integration is a mutual process that requires efforts on the part both of ourselves and of the future Member States.,"Une intégration est un processus mutuel, qui suppose des efforts aussi bien de notre part que de la part des futurs États membres."
75,"In spite of what some minority voices say, Mr Schmid was not more preoccupied with industrial espionage than with individual monitoring.","Contrairement à ce qu'affirment certains avis minoritaires, le rapporteur ne s'est pas montré plus préoccupé par l'espionnage économique que par les écoutes individuelles."
76,"I too wish to thank the Council of Ministers for its comprehensive answer, but I should nonetheless like the Council to be more specific.","Je voudrais à mon tour remercier le Conseil pour sa réponse étoffée, mais je souhaiterais tout de même une formulation plus concrète."
77,Much of the suffering of the last few months would have been unnecessary if the Commission had been prepared to accept preventive vaccination.,Une grande partie de la souffrance des derniers mois n' aurait pas été nécessaire si la Commission avait été disposée à accepter les vaccinations préventives.
78,"All the same, if you would allow me, I would like to say that I was disappointed by the remarks made by Mr Simpson earlier.",Vous me permettrez tout de même de dire que j'ai été touché par les remarques qui ont été faites par M. Simpson tout à l'heure.
79,"I do not wish to see us simply come up with a third Seveso directive, a point that my fellow Member, Mrs Ries, made very well.","Je ne voudrais pas que l'on se contente d'une directive Seveso III, comme l'a fort bien dit ma collègue, Mme Ries."
80,"Well, in my opinion, the European Union, faced with the crisis situation in this region, should present itself as an element of stability and moderation.","Eh bien, je pense que l'Union européenne doit, face à cette situation de crise dans la région, se présenter comme un facteur de stabilité et de modération."
81,"We ask that you continue your efforts as intermediaries in the Middle East, above all between Israel and the Palestinians.","Nous vous prions de poursuivre vos efforts en faveur de la négociation au Proche-Orient, principalement entre les Palestiniens et les Israéliens !"
82,"Well, the Committee on Economic and Monetary Affairs has refused to open its eyes to this additional dimension.",Mais la commission économique et monétaire a refusé d'ouvrir les yeux sur cette dimension supplémentaire.
83,"In addition, national rivalries between the countries in the region have blocked cooperation and also international efforts have been made more difficult.","De plus, les rivalités entre les pays de la région ont entravé toute coopération et compliqué les efforts internationaux."
84,"In the case of the Irish national airline, Aer Lingus, 40% of their business and 60% of their profits are generated on trans-Atlantic routes.","En ce qui concerne la compagnie aérienne nationale irlandaise, Aer Lingus, 40 % de ses activités et 60 % de ses bénéfices sont générés grâce aux lignes transatlantiques."
85,"As I have often said before, and I shall say it again now, this leads to two classes of Member of the European Parliament - those with and those without access to information.",De cette façon - je l' ai déjà souvent dit et je le répète encore une fois - émergent deux catégories de députés : ceux qui ont accès à l' information et les autres.
86,"In the short term, however, one of its unavoidable effects has been a severe drop in GDP, of 8% this year, which may have serious social consequences.","Mais, à court terme, ces effets inévitables se traduisent par une très forte baisse du revenu national, de l'ordre de 8 % cette année, ce qui risque d'engendrer de graves conséquences sociales."
87,"Yet again, ETA terrorists have shown that they deny the right to life, that they reject the very principle of the rule of law.","Une fois encore, les terroristes de l'ETA ont montré qu'ils nient le droit à la vie, qu'ils refusent le principe même de l'État de droit."
88,There are now two completely opposing views with regard to future public access to information in preparations for Community decision-making.,"Actuellement, deux points de vue complètement divergents s'opposent sur la future publicité des informations lors des travaux préparatoires aux décisions communautaires."
89,"For this reason, the introduction of this policy should be progressive, transparent and must be adapted to local requirements.","Cette politique doit dès lors être graduelle et transparente, et doit être adaptée au niveau local."
90,"Insofar as subsidies are not sanctions in the sense of the dispute settlement procedure, they are permitted policy measures.","Tant que les subsides ne sont pas des sanctions au sens de la procédure de règlement des différends, ils constituent des mesures politiques autorisées."
91,"There was a bit of an argument - some were in favour, such as yours truly, and some wanted to put back the date of this major event.","Nous nous disputions un peu : il y avait ceux qui étaient favorables, comme moi-même, et ceux qui voulaient reporter cette importante échéance."
92,"Given these circumstances, I hope that the great majority of Parliament will vote in favour of ratifying this agreement.","Dans ces conditions, je souhaite que notre Parlement se prononce à une large majorité en faveur de la ratification de cet accord."
93,"According to Amendment No 41, board meetings must, as a rule, be public and not held behind closed doors.","L'amendement 41 prévoit que les réunions du conseil d'administration soient en règle générale publique, et que le fonctionnement à huis clos ne soit qu'un fait exceptionnel."
94,"Until the conciliation meeting of 21 November it was not possible to agree on a satisfactory solution, and that means living with an excessive degree of risk.","Nous ne sommes parvenus à une solution satisfaisante pour tous que lors de la réunion de conciliation du 21 novembre dernier, ce qui impliquait une situation de risque bien trop importante avant cette date."
95,"The creation of an area of freedom, security and justice goes to the very core of the relationship between governments and citizens.","La création d'un espace de liberté, de sécurité et de justice touche à l'essence même du lien unissant l'autorité et le citoyen."
96,"Madam President, distinguished Members of the European Parliament, ladies and gentlemen, dear friends: It is with great emotion and excitement I receive this recognition today.","Madame la Présidente, membres distingués du Parlement européen, Mesdames, Messieurs, chers amis, c'est avec une grande émotion et beaucoup d'enthousiasme que je reçois ce prix aujourd'hui."
97,We have to be sure that any changes which are brought about within the European Union in the future command the goodwill and support of the citizens of the Union.,Nous devons être sûrs que tous les changements qui seront introduits à l'avenir dans l'Union européenne inspireront la bienveillance et le soutien des citoyens de l'Union.
98,"I would like you to make that explicit commitment here, thereby helping this sector to recover its fighting spirit and confidence.",J'aimerais que vous preniez cet engagement explicite ici afin de permettre à ce secteur de retrouver sa combativité et confiance en soi.
99,"We must give even more attention to the maintenance of healthy stocks than we did previously, because only healthy marine eco-systems guarantee sustainable management with a future ahead of it.","Nous devons consacrer à la préservation des réserves saines encore plus d'attention qu'avant, car seuls des écosystèmes maritimes sains garantissent une exploitation durable et pérenne."
100,A prerequisite for expressing our support for an increase in the EIB' s capital should be that the projects lead to sustainable development.,"Si nous voulons exprimer notre soutien à une augmentation du capital de la BEI, il est indispensable que les projets débouchent sur un développement durable."
101,"With respect to the enlargement process, the European Union position on support to the ICC is part of the common foreign and security policy acquis, which candidates are asked to subscribe to.","S'agissant du processus d'élargissement, la position de l'Union européenne sur le soutien à la CPI s'inscrit dans l'acquis de la politique étrangère et de sécurité commune, auquel les pays candidats sont priés de se conformer."
102,"The role of the parliamentary institution with regard to these issues is vital, although not decisive in itself.","Le rôle de l'institution parlementaire est fondamental à cette fin, même s'il n'est pas résolutif en soi."
103,It is much to be desired that those Taliban fighters who have gone to ground in Pakistan should be unmasked and arrested.,Il faut vraiment souhaiter que les combattants talibans cachés au Pakistan soient démasqués et arrêtés.
104,"If all individuals are not treated in the same way, if war crimes and crimes against humanity go unpunished, how can we credibly pass judgment on less serious violations of the law?","Si tous les individus ne sont pas traités de la même façon, si des crimes de guerre et des crimes contre l' humanité restent impunis, comment pouvons-nous juger en toute bonne foi d' autres violations moins graves ?"
105,"As the rapporteur points out, these messages must be changed according to the local situation or specific concerns of the people.","Comme le relève votre rapporteur, ces messages devront être déclinés en fonction des réalités locales et des préoccupations concrètes des citoyens."
106,I am of the opinion that the music and entertainment industry should fall outside the scope of this directive and be regulated in a separate directive.,J'estime que le secteur de la musique et du divertissement ne doit pas être repris dans cette directive mais réglementé dans une autre directive.
107,"We are all very busy working on them, and I have also noticed that in the Netherlands, associations, for example, are reporting claims in connection with Poland, among others.","Ce dossier nous préoccupe tous beaucoup et je remarque qu'au sein de la société néerlandaise, des associations font connaître des revendications, à l'égard de la Pologne par exemple."
108,"I would also urge the Commission, Council and Parliament to look seriously at the amendments we have proposed on that.","Je voudrais également demander instamment à la Commission, au Conseil et au Parlement d'analyser sérieusement les amendements que nous avons proposés à ce propos."
109,The motion calls for justice and reparations for the Muslim and Tamil communities being persecuted in Sri Lanka.,La proposition de résolution réclame la justice et un dédommagement pour les communautés musulmanes et tamoules persécutées au Sri Lanka.
110,Asylum seekers must be able to have recourse to the law when administrative decisions go against them.,Les demandeurs d'asile doivent pouvoir suivre la voie juridique à l'encontre de décisions administratives négatives.
111,"I do not believe that, in the present situation, this would be the right moment to suspend it, but the matter must be discussed.","Je ne pense pas qu'en l'état actuel des choses sa suspension soit à l'ordre du jour, mais une discussion à ce sujet s'impose."
112,"This resolution is neither fair nor useful, yet Europe could make an important contribution - it does have the means to be credible.","Cette résolution n'est ni juste, ni utile. l'Europe pourrait pourtant apporter une contribution décisive, elle a les moyens d'être crédible."
113,"There is no room for strikes and demonstrations, or for freedom of association, freedom of religion or free elections.","Les grèves et les manifestations n'ont pas leur place, pas plus que la liberté d'association, la liberté de culte ou les élections libres."
114,"We are ready, but we are also prepared for very intensive discussions with each other and, if need be, for an in-depth exchange of arguments.","Nous sommes prêts, et nous sommes également prêts à discuter ensemble de manière intensive et, le cas échéant, à entreprendre un échange d'arguments intensif."
115,"Mr President, Commissioner, ladies and gentlemen, 2004 will be the European Year of Education through Sport.","Monsieur le Président, Madame la Commissaire, chers collègues, l'année 2004 sera l'Année européenne de l'éducation par le sport."
116,The key objective of the directive is therefore to promote better working conditions for minors without enforcing a total ban.,Son objectif principal est donc de promouvoir de meilleures conditions de travail pour les jeunes sans instaurer une interdiction absolue.
117,"The European Affairs Council would, of course, be responsible for appointing the representative to the Council/European Parliament conciliation committee when legislation is on the agenda.","Naturellement, pareil Conseil des ministres des Affaires européennes aurait également pour fonction de désigner le représentant chargé des relations avec le Parlement au sein du comité de conciliation, lorsque nous parlons de la législation."
118,The report quite rightly reminds us that progress in partnership and above all in the attainment of goals is only achieved to any significant degree on the basis of careful analysis.,Le rapport rappelle fort opportunément que des progrès significatifs dans le partenariat et avant tout dans la réalisation des objectifs ne peuvent être obtenus que sur la base d'analyses approfondies.
119,"We have to establish a system by which traceability of food, wherever it comes from, will be assured and we have to reach an understanding with our competitors in the world markets.","Nous devons établir un système qui garantira la traçabilité de la nourriture, quelle que soit sa provenance, et nous devons conclure un arrangement avec nos concurrents sur les marchés mondiaux."
120,"Instead of a vigorous debate in the Chamber, with quick responses and opposition, we have a series of long monologues in which we read out our papers written in advance, as I am doing today.","Au lieu d'un débat vif, où les répliques et les thèses opposées se succèdent rapidement dans l'hémicycle, on assiste à une série de longs monologues, où chacun lit le papier qu'il a préparé d'avance - comme je suis en train de le faire."
121,"President Museveni, after the Bali meeting, said that talk about sustainability is all very well but that market access is the most important issue.","Le président Museveni, après la réunion de Bali, a déclaré qu'il était très beau de parler de durabilité, mais que l'accès au marché constituait le thème le plus important."
122,"I would emphasise once again our joint undertaking with regard to the major objectives, which many speakers have mentioned in relation to Johannesburg.","Je réitère l'engagement commun sur les grands objectifs, que nombre d'entre vous ont évoqués dans l'optique de Johannesburg."
123,"It would have imposed an unnecessarily heavy bureaucratic burden on many intermediaries, without increasing customer protection.","Elle aurait imposé une charge bureaucratique inutilement lourde sur de nombreux intermédiaires, sans pour autant améliorer la protection des consommateurs."
124,"I personally have to say that I will be voting in favour of Amendment No 21, which pertains to the transport of flowers, although my group will, unfortunately, be voting against it.","Personnellement, je voterai en faveur de l'amendement 21 qui concerne le transport des fleurs, mais mon groupe s'y opposera malheureusement."
125,This report explores some interesting options for maintaining and strengthening the film industry of the EU Member States.,Le présent rapport explore des pistes intéressantes pour assurer le maintien et le renforcement de l'industrie cinématographique des États membres de l'Union européenne.
126,It has been suggested in this debate that Members should vote against this report because it might have a negative effect on the Nice referendum in Ireland.,"Au cours du débat, on a suggéré aux députés de voter contre le rapport, en raison de son effet négatif supposé sur le référendum de ratification du traité de Nice en Irlande."
127,These measures represent essential steps towards genuine consumer protection for European holidaymakers purchasing this type of holiday.,"Ces mesures constituent des étapes essentielles en vue d'une réelle protection du consommateur, destinée aux vacanciers européens qui achètent ce type de vacances."
